id,original_language,original_title,overview,popularity,poster_path,release_date,title,vote_average,vote_count,genre
1125510,es,El hoyo 2,"Quand un mystérieux leader impose sa loi avec un système brutal de cellules verticales, une nouvelle arrivante se rebelle contre une répartition alimentaire discutable.",269.864,/gL7gz6EaG28NJRfBAveOZZm5mFo.jpg,2024-09-27,La Plateforme 2,5.607,922,"['Science-Fiction', 'Horreur']"
653346,en,Kingdom of the Planet of the Apes,"Plusieurs générations après le règne de César, les singes ont définitivement pris le pouvoir. Les humains, quant à eux, ont régressé à l'état sauvage et vivent en retrait. Alors qu'un nouveau chef tyrannique construit peu à peu son empire, un jeune singe entreprend un périlleux voyage qui l'amènera à questionner tout ce qu'il sait du passé et à faire des choix qui définiront l'avenir des singes et des humains…",260.812,/4925wPllJdQmHd1RxbZ62ZekaW3.jpg,2024-05-08,La Planète des singes : Le Nouveau Royaume,7.1,3268,"['Science-Fiction', 'Aventure', 'Action']"
889737,en,Joker: Folie à Deux,"Arthur Fleck, alors interné dans l'asile d'Arkham, attend d'être jugé pour les crimes qu'il a commis sous les traits de Joker. Déchiré entre ses deux identités, Arthur ne trouve pas seulement le grand amour, mais aussi la mélodie qui a toujours sommeillé en lui.",256.497,/cWJGZAozNQFKLCD8vv4ukw4nJP8.jpg,2024-10-01,Joker : Folie à deux,5.561,1772,"['Drame', 'Crime', 'Thriller']"
1355755,en,An Almost Christmas Story,"Moon, une jeune chouette curieuse, se retrouve accidentellement coincée dans un sapin de Noël destiné à être exposé sur la place Rockefeller, à New York. Dans ses tentatives pour échapper, elle se lie d'amitié avec Luna, une petite fille perdue.",255.038,/2B8C4ZF4N7Ie3vuENIFRFjSI9P6.jpg,2024-10-14,"Un conte de Noël, ou presque",7.6,28,"['Animation', 'Aventure', 'Fantastique', 'Familial']"
917496,en,Beetlejuice Beetlejuice,"À la suite d'une tragédie familiale inattendue, trois générations de la famille Deetz rentrent dans leur maison à Winter River, toujours hantée par Beetlejuice. Là-bas, Lydia voit sa vie prendre un nouveau tournant lorsque Astrid, sa fille en plein âge rebelle, découvre la mystérieuse maquette de la ville et que le portail vers l'au-delà s'ouvre accidentellement. Les ennuis se rapprochent des deux royaumes, et ce n'est qu'une question de temps avant que quelqu'un ne prononce le nom de Beetlejuice trois fois et que ce démon malicieux revienne pour semer le chaos sur son passage.",253.172,/4M8fnQF821aVFBbhLdTQGf4j4W9.jpg,2024-09-04,Beetlejuice Beetlejuice,7.141,1963,"['Comédie', 'Fantastique', 'Horreur']"
1011985,en,Kung Fu Panda 4,"Après trois aventures dans lesquelles le guerrier dragon Po a combattu les maîtres du mal les plus redoutables grâce à un courage et des compétences en arts martiaux inégalés, le destin va de nouveau frapper à sa porte pour l'inviter à enfin se reposer. Plus précisément, pour être nommé chef spirituel de la vallée de la Paix.",252.518,/y8K9wRRv7YK1ACHqaDlMBrNebVU.jpg,2024-03-02,Kung Fu Panda 4,7.1,2742,"['Animation', 'Familial', 'Fantastique', 'Action']"
786892,en,Furiosa: A Mad Max Saga,"Alors que le monde s'écroule, la jeune Furiosa tombe entre les mains d'une horde de motards dirigée par le seigneur de la guerre Dementus. En traversant le Wasteland, ils tombent sur la Citadelle présidée par l'Immortan Joe. Alors que les deux tyrans se battent pour la domination, Furiosa doit survivre à de nombreuses épreuves pour trouver le moyen de rentrer chez elle.",251.196,/hbxqFdWXHeLIJfagMMhVG5SV5tb.jpg,2024-05-22,Furiosa : Une saga Mad Max,7.5,3527,"['Action', 'Science-Fiction', 'Aventure']"
1371727,en,Sing: Thriller,"Buster Moon rêve d'un spectacle étincelant inspiré du ""Thriller"" de Michael Jackson dans ce court-métrage animé qui reprend des personnages des films ""Tous en scène"".",250.979,/i77OInTKcrnRlAozFOaB6D5mk15.jpg,2024-10-16,Tous en scène : Thriller,7.356,118,"['Animation', 'Familial', 'Comédie']"
569094,en,Spider-Man: Across the Spider-Verse,"After reuniting with Gwen Stacy, Brooklyn’s full-time, friendly neighborhood Spider-Man is catapulted across the Multiverse, where he encounters the Spider Society, a team of Spider-People charged with protecting the Multiverse’s very existence. But when the heroes clash on how to handle a new threat, Miles finds himself pitted against the other Spiders and must set out on his own to save those he loves most.",247.084,/8Vt6mWEReuy4Of61Lnj5Xj704m8.jpg,2023-05-31,Spider-Man: Across the Spider-Verse,8.354,7039,"['Animation', 'Action', 'Aventure', 'Science-Fiction']"
157336,en,Interstellar,The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,245.22,/gEU2QniE6E77NI6lCU6MxlNBvIx.jpg,2014-11-05,Interstellar,8.444,35764,"['Aventure', 'Drame', 'Science-Fiction']"
1234811,en,Our Little Secret,"Après avoir découvert que leurs partenaires actuels sont frère et sœur, deux ex fâchés doivent passer Noël sous le même toit tout en dissimulant leur passé amoureux.",243.409,/7isqmWUryG2xksrw0E75m3vYTFd.jpg,2024-11-27,Our Little Secret,6.347,258,"['Romance', 'Comédie', 'Drame']"
1142518,fr,Libre,"Inspiré de faits réels, le film explore la vie tumultueuse de Bruno Sulak, un célèbre braqueur du XXe siècle. Connu pour ses vols de bijouteries sans violence, il devient une icône du banditisme et s'échappe plusieurs fois de prison pour retrouver Annie, sa complice et amante : traqué par la police, il devient l'ennemi public numéro un des années 1980.",233.139,/1cyo2yraWSOai6rokzK3dfz5xpD.jpg,2024-11-01,Libre,6.6,72,"['Action', 'Romance', 'Drame']"
976734,en,Canary Black,"Avery Graves, agente de la CIA, est victime de chantage de la part de terroristes l'obligeant à trahir les USA pour sauver son mari kidnappé. Isolée, elle se tourne vers d'anciens contacts pour récupérer les renseignements demandés par les ravisseurs. Avery se lance alors dans une course mortelle pour remettre la rançon qui pourrait déclencher une crise mondiale.",230.556,/nov36BA6BxCSpDMMos7KW7pF6Em.jpg,2024-10-10,Canary Black,6.4,283,"['Action', 'Thriller', 'Crime']"
592695,sv,Pleasure,Une jeune suédoise de 19 ans arrive à Los Angeles dans le but de faire carrière dans l’industrie du porno. Sa détermination et son ambition la propulsent au sommet d’un monde où le plaisir cède vite la place au risque et à la toxicité.,225.95,/yvP2CKjInQuASQpg2Nsc07HEbTT.jpg,2021-10-08,Pleasure,6.227,556,['Drame']
365177,en,Borderlands,"Lilith, une chasseuse de primes au passé trouble, revient à contrecœur sur sa planète natale, Pandore, la planète la plus chaotique de la galaxie… Sa mission est de retrouver la fille disparue d'Atlas, l'homme le plus puissant (et le plus méprisable) de l’univers. Pour y arriver Lilith va devoir former une alliance inattendue avec une joyeuse équipe de marginaux : Roland, un mercenaire chevronné ; Tiny Tina, une pré-ado avec un gros penchant pour la démolition ; Krieg, le protecteur musclé de Tina ; Tannis, une scientifique fantasque ; et Claptrap, un robot très bavard.",223.229,/8appkqI0VacmcU86QeOUL8v6Xfc.jpg,2024-08-07,Borderlands,5.798,850,"['Action', 'Science-Fiction', 'Comédie']"
1144962,en,Transmorphers: Mech Beasts,,222.772,/oqhaffnQqSzdLrYAQA5W4IdAoCX.jpg,2023-06-09,Transmorphers: Mech Beasts,5.5,30,"['Action', 'Science-Fiction']"
974950,fr,Emilia Pérez,"Rita, une avocate sous-estimée travaillant pour un grand cabinet d'avocats plus intéressé à faire sortir les criminels de prison qu'à les traduire en justice, est engagée par le chef d'une organisation criminelle.",219.786,/r5sYdlJFys6YETQb63lvRR4fKEL.jpg,2024-08-21,Emilia Pérez,7.9,397,"['Drame', 'Thriller']"
1203236,en,Nutcrackers,"Alors que Mike est sur le point de conclure la plus grosse affaire de sa carrière, il se voit contraint de quitter sa vie de citadin et de célibataire endurci pour aller dans une ferme rurale de l’Ohio afin d’aider ses neveux devenus orphelins à trouver un nouveau foyer.",219.714,/yqKKhbaofSHfqHGNYHz9yqSPvYR.jpg,2024-09-05,Nutcrackers,5.723,47,"['Comédie', 'Drame']"
974576,en,Conclave,"Le Cardinal Lawrence est chargé de gérer ce processus confidentiel après la mort inattendue du Pape bien-aimé. Lorsque tous les dirigeants les plus puissants de l’Église Catholique sont réunis et enfermés dans le Vatican, Lawrence se retrouve au centre d’une conspiration et découvre un secret qui pourrait changer à jamais l’institution religieuse.",217.228,/vYEyxF1UT779RiEalpMjUT6kfdf.jpg,2024-10-25,Conclave,7.021,261,"['Thriller', 'Drame']"
634649,en,Spider-Man: No Way Home,"Après les événements liés à l'affrontement avec Mysterio, l'identité secrète de Spider-Man a été révélée. Il est poursuivi par le gouvernement américain, qui l'accuse du meurtre de Mysterio, et traqué par les médias. Cet événement a également des conséquences terribles sur la vie de sa petite-amie M.J. et de son meilleur ami Ned. Désemparé, Peter Parker demande alors de l'aide au docteur Strange. Ce dernier lance un sort pour que tout le monde oublie que Peter est Spider-Man. Mais les choses ne se passent pas comme prévu, et cette action altère la stabilité de l'espace-temps. Cela ouvre le « multivers », un concept terrifiant dont ils ne savent quasiment rien...",216.198,/3SyG7dq2q0ollxJ4pSsrqcfRmVj.jpg,2021-12-15,Spider-Man : No Way Home,7.955,20187,"['Action', 'Aventure', 'Science-Fiction']"
1287717,es,No entres,"Deux youtubeurs de la classe ouvrière « en devenir » entrent dans un manoir abandonné pour récupérer leur ballon de basket et se perdent à l’intérieur en se faisant des farces. Ils enregistrent leur « aventure rapide » avec leur téléphone pour leur public et la peaufinent avec une fausse apparence fantôme pour attirer plus de followers sur leur chaîne YouTube. Une fois téléchargée, la vidéo devient virale, alors ils se lancent un défi : si la vidéo atteint un certain nombre de vues, ils entreront à nouveau dans la maison, la nuit, seuls, sans aucune protection. Alors que les fans réagissent positivement, ils feront comme promis, non seulement pour découvrir et dévoiler la vraie nature du lieu et de ses habitants, mais aussi pour réaliser qu'ils ne font peut-être plus partie des vivants. Ce qui ouvre une question : jusqu’où iriez-vous pour être célèbre ?",207.094,/7pgkUKNya2DcNCsuz62Sc2CA009.jpg,2024-08-06,No entres,7.4,86,['Horreur']
726139,ko,탈출: 프로젝트 사일런스,"Le brouillard cause un gigantesque accident sur un pont. Alors que celui-ci menace de s’effondrer, des bêtes inconnues se retrouvent libérées au milieu des survivants.",202.958,/cQb0XAyb9hZFiKHGD8KpUtgIaTL.jpg,2024-07-11,Project Silence,7.048,251,"['Action', 'Thriller', 'Horreur', 'Science-Fiction']"
354912,en,Coco,"Depuis déjà plusieurs générations, la musique est bannie dans la famille de Miguel. Un vrai déchirement pour le jeune garçon dont le rêve ultime est de devenir un musicien aussi accompli que son idole, Ernesto de la Cruz. Bien décidé à prouver son talent, Miguel, par un étrange concours de circonstances, se retrouve propulsé dans un monde étonnant et coloré lié aux célébrations des ancêtres. Là, il se lie d’amitié avec Hector, un gentil garçon mais un peu filou sur les bords. Ensemble, ils vont accomplir un voyage extraordinaire qui leur révèlera la véritable histoire qui se cache derrière celle de la famille de Miguel…",194.832,/sZqcEV3KhDITHlUBmyj1a3RRvT9.jpg,2017-10-27,Coco,8.209,19517,"['Familial', 'Animation', 'Musique', 'Aventure']"
1391524,es,¡Hasta la Madre de la Navidad!,,191.048,/cTQIU3kJBPI5BG5WGVnUuU5yAnB.jpg,2024-11-29,¡Hasta la Madre de la Navidad!,7.0,16,['Comédie']
238,en,The Godfather,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.",190.434,/3bhkrj58Vtu7enYsRolD1fZdja1.jpg,1972-03-14,The Godfather,8.7,20699,"['Drame', 'Crime']"
787699,en,Wonka,"Inspiré du personnage principal hors du commun de Charlie et la Chocolaterie, le best-seller de Roald Dahl qui est aujourd'hui l'un des livres pour enfants les plus vendus de tous les temps, « Wonka » est une histoire merveilleuse retraçant la jeunesse de Willy Wonka, et comment il est devenu ce grand inventeur, magicien et chocolatier que nous connaissons aujourd'hui. Dans ce spectacle saisissant et d'une créativité sans limites, les spectateurs découvriront un Willy Wonka jeune, la tête débordant d'idées et bien décidé à changer le monde à coups de délicieuses chocolateries. Il vous montrera que les meilleures choses de la vie commencent par un rêve, et qu'en rencontrant Willy Wonka, tout devient possible.",188.765,/aKK2C3SErXIhNdT9gI93as2b8GV.jpg,2023-12-06,Wonka,7.1,3537,"['Comédie', 'Familial', 'Fantastique']"
